id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Grade
0,GP,F,16,U,GT3,A,0,3,teacher,services,home,mother,2,2,1,no,yes,no,yes,yes,no,yes,no,5,4,2,1,0,4,2,8,13,7
1,MS,M,17,U,GT3,T,4,0,other,services,home,other,1,4,0,no,yes,no,yes,yes,yes,yes,yes,4,2,4,2,2,1,28,12,10,12
2,MS,F,17,U,LE3,T,1,0,services,at_home,course,mother,1,2,0,yes,no,no,yes,no,no,yes,yes,4,4,2,1,2,2,3,11,9,8
3,GP,M,17,R,LE3,T,2,2,health,other,reputation,father,3,1,0,no,yes,no,no,yes,yes,yes,no,2,4,2,2,2,4,2,16,15,9
4,MS,F,14,R,LE3,T,0,1,health,teacher,reputation,mother,1,0,0,yes,yes,yes,yes,yes,yes,yes,no,3,3,2,2,1,4,0,9,14,8
5,GP,F,16,U,GT3,T,1,1,services,other,other,other,1,0,0,no,yes,no,yes,yes,no,yes,no,1,3,1,1,2,1,1,16,12,8
6,MS,M,16,U,GT3,T,4,1,at_home,teacher,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,2,4,1,1,1,2,15,11,11,9
7,GP,M,14,U,GT3,T,2,3,teacher,teacher,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,2,4,0,1,5,0,14,14,9
8,GP,F,14,R,LE3,A,3,1,services,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,2,1,2,4,16,17,9
9,GP,M,14,R,GT3,A,3,0,teacher,other,course,mother,1,3,0,no,yes,no,no,yes,no,yes,yes,4,0,0,6,3,1,2,15,17,10
10,MS,M,16,U,GT3,A,3,1,other,other,other,mother,5,3,0,yes,yes,no,yes,yes,yes,no,no,4,3,4,1,2,1,12,19,10,10
11,GP,F,16,R,GT3,T,4,0,other,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,no,yes,4,0,3,4,0,2,4,9,20,9
12,GP,F,16,U,LE3,A,3,3,other,other,course,father,3,1,2,no,yes,no,no,yes,yes,yes,yes,2,4,1,1,3,4,0,11,8,7
13,MS,F,16,U,GT3,T,2,1,other,services,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,0,3,2,2,1,1,13,12,9
14,GP,F,14,U,GT3,T,4,0,health,services,home,mother,4,2,0,no,yes,no,no,no,yes,yes,no,3,4,0,1,3,4,1,15,16,10
15,GP,M,18,U,GT3,A,2,3,other,other,course,father,2,3,0,no,no,yes,no,yes,no,yes,yes,5,3,4,1,0,4,0,13,15,10
16,MS,F,18,U,LE3,T,3,0,teacher,other,home,other,1,1,0,yes,yes,no,no,yes,yes,yes,no,4,2,2,6,3,2,3,15,11,9
17,MS,M,14,U,GT3,T,3,1,at_home,other,reputation,father,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,4,4,15,13,9,9
18,GP,F,16,U,GT3,A,4,3,other,at_home,course,other,5,0,0,no,yes,no,yes,yes,no,yes,no,5,3,1,1,4,4,2,7,12,8
19,GP,F,16,U,LE3,T,3,2,at_home,at_home,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,0,5,4,3,2,16,18,9
20,GP,M,16,R,GT3,T,1,2,at_home,other,course,other,3,1,0,no,yes,no,no,yes,yes,yes,no,4,3,2,3,1,4,1,11,18,8
21,MS,M,19,U,GT3,T,4,0,health,other,other,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,2,2,5,7,13,3,9
22,GP,F,16,U,GT3,T,1,1,services,teacher,course,other,1,1,0,no,no,yes,yes,yes,no,yes,no,5,3,4,1,1,0,5,17,17,7
23,GP,M,17,R,GT3,T,2,0,other,other,home,other,1,0,0,yes,yes,no,no,yes,yes,no,no,5,3,1,2,1,0,0,12,16,9
24,MS,M,15,U,GT3,T,2,0,services,other,other,mother,2,4,1,no,yes,no,yes,no,no,yes,yes,5,2,1,1,0,2,0,10,13,12
25,GP,F,14,U,LE3,T,4,1,teacher,other,home,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,2,2,2,1,1,3,0,21,11,10
26,GP,F,16,R,GT3,T,3,2,other,other,course,mother,1,2,0,no,no,yes,yes,yes,no,yes,no,2,3,1,2,2,4,2,9,15,9
27,MS,F,16,R,LE3,T,3,0,other,other,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,6,1,2,0,21,7,11
28,GP,M,16,U,GT3,T,4,1,at_home,services,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,3,0,2,15,15,9
29,GP,F,16,R,GT3,T,2,2,at_home,other,home,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,yes,4,3,3,3,3,0,0,14,12,9
30,GP,M,16,R,GT3,T,3,1,health,other,home,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,4,4,5,1,4,4,0,16,15,9
31,GP,M,16,U,GT3,T,2,1,other,other,course,mother,1,0,0,no,yes,no,no,yes,yes,yes,no,5,3,1,1,1,4,1,10,9,9
32,GP,F,14,R,GT3,A,2,2,other,health,course,mother,1,3,0,no,yes,no,yes,yes,yes,no,no,5,4,4,1,4,4,0,14,12,11
33,GP,M,14,R,GT3,T,0,2,other,teacher,home,mother,2,0,0,yes,no,no,no,yes,no,yes,no,4,2,1,1,2,4,3,14,13,7
34,GP,F,16,U,LE3,T,2,1,other,services,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,4,0,14,12,9
35,GP,M,16,R,LE3,T,2,3,other,at_home,home,mother,1,2,0,no,yes,no,no,no,yes,no,no,5,0,0,1,1,4,23,12,11,8
36,GP,M,20,R,LE3,T,1,1,at_home,other,course,mother,2,2,0,no,yes,no,no,no,yes,yes,yes,3,2,4,1,2,4,1,20,14,9
37,GP,M,14,U,GT3,A,3,2,other,at_home,course,father,4,1,0,yes,yes,no,no,no,yes,yes,no,4,3,1,1,2,0,0,10,12,9
38,GP,F,16,U,GT3,T,1,0,other,other,reputation,father,1,0,0,no,yes,no,yes,no,yes,yes,no,3,3,0,0,2,4,1,12,10,8
39,GP,F,16,U,LE3,T,1,0,at_home,services,home,mother,1,4,0,no,yes,no,yes,no,yes,no,yes,5,4,2,0,1,3,3,17,14,13
40,GP,F,17,R,GT3,A,4,2,health,other,home,other,2,2,0,no,yes,no,no,yes,yes,yes,no,5,2,1,2,2,4,0,11,14,10
41,GP,M,14,U,GT3,A,4,2,health,teacher,course,father,1,1,0,no,yes,no,no,no,yes,yes,no,3,2,2,1,2,4,3,3,11,9
42,GP,F,16,U,GT3,T,4,2,health,other,reputation,mother,5,1,0,no,yes,no,no,yes,yes,yes,no,4,3,2,6,3,1,1,11,13,9
43,GP,F,18,U,GT3,T,4,1,other,other,course,mother,1,0,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,2,2,0,16,13,9
44,MS,F,16,R,LE3,T,3,1,other,other,home,other,0,0,0,no,yes,no,no,yes,yes,yes,no,5,3,1,1,5,2,0,12,13,9
45,GP,M,16,U,GT3,T,3,1,other,teacher,course,father,2,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,3,1,0,4,4,20,13,11
46,GP,M,14,R,LE3,T,2,1,services,other,home,mother,3,4,0,no,yes,no,no,no,no,yes,yes,4,5,2,1,2,1,0,15,6,13
47,GP,F,14,U,LE3,T,3,2,other,other,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,yes,4,3,1,0,3,5,2,12,12,9
48,GP,F,15,U,LE3,T,3,2,at_home,other,reputation,mother,1,2,0,no,yes,yes,no,no,yes,no,yes,4,2,0,6,1,2,0,16,15,9
49,GP,F,14,R,GT3,A,2,1,other,other,home,father,1,2,0,no,no,no,no,yes,yes,yes,no,5,2,0,2,5,4,0,13,16,9
50,GP,M,17,U,GT3,T,4,1,health,teacher,home,father,1,3,0,yes,no,no,yes,no,yes,yes,no,5,4,4,1,2,1,0,12,10,11
51,MS,M,14,R,LE3,T,4,1,at_home,other,course,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,3,3,3,1,2,3,2,11,18,14
52,GP,F,16,U,GT3,A,1,2,other,services,other,mother,3,2,0,yes,yes,no,no,yes,yes,yes,no,5,3,0,1,2,4,0,14,7,9
